id,slug,name,count
689,"akcijiniai-pasiulymai","Akcijiniai pasiūlymai",0
666,"aksesuarai-pauksciams","Aksesuarai paukščiams",2
94,"akvariumo-zuvyciu-maistas","Akvariumo žuvyčių maistas",36
371,"akvariumai-iranga","Akvariumų įranga",6
86,"animonda-konservai-sunims","Animonda konservai šunims",36
109,"antiparazitines-priemones-katems","Antiparazitinės priemonės katėms",5
108,"antiparazitines-priemones-sunims","Antiparazitinės priemonės šunims",8
117,"antkakliai-ir-petnesos-katems","Antkakliai ir petnešos katėms",9
116,"antkakliai-pavadeliai-sunims","Antkakliai, pavadėliai šunims",211
305,"apranga-sunims","Apranga šunims",39
655,"baseinai-sunims","Baseinai šunims",1
91,"daugiau-pigiau","DAUGIAU=PIGIAU",9
119,"dovanos","DOVANOS",4
124,"draskykles-katems","Draskyklės katėms",45
112,"dubeneliai-katems","Dubenėliai katėms",35
111,"dubeneliai-sunims","Dubenėliai šunims",54
113,"dp-grauzikams","Graužikams",0
87,"grauzikams","GRAUŽIKAMS",61
569,"guoliai-katems","Guoliai katėms",13
233,"guoliai-boksai-sunims","Guoliai šunims",43
82,"higienos-priemones-sunims","Higienos priemonės šunims",44
85,"hipoalerginis-maistas-sunims","Hipoalerginis maistas šunims",33
687,"jautrus-virskinimas","Jautrus virškinimas",0
77,"katems","KATĖMS",891
99,"dp-katems","Katėms",0
123,"kelioniu-iranga","Kelionių įranga",20
104,"kita-grauzikams","Kita",0
126,"kita-sunims","Kita",0
105,"kita-pauksciams","Kita",0
131,"kita","kita",0
16,"uncategorized","Kita",12
84,"kitos-prekes-zalios-bangos","Kitos prekes Žalios Bangos",0
79,"konservai-katems","Konservai katėms",146
73,"konservai-sunims","Konservai šunims",128
682,"konservu-rinkiniai","Konservų rinkiniai",5
107,"kraikai-kaciu-tualetams","Kraikai kačių tualetams",89
657,"kraikas-ir-sienas-grauzikams","Kraikas ir šienas graužikams",4
684,"kramtalu-rinkiniai","Kramtalų rinkiniai",3
90,"lesalas-pauksciams","Lesalas paukščiams",11
78,"maistas-katems","Maistas katėms",353
71,"maistas-sunims","Maistas šunims",644
80,"miamor-katems","Miamor katėms",29
125,"narvai","Narvai",7
304,"narvai-grauzikams","Narvai ir aksesuarai graužikams",15
686,"naujas-kaciukas","Naujas kačiukas",0
685,"naujas-suniukas","Naujas šuniukas",0
88,"pasaras-grauzikams","Pašaras graužikams",20
681,"pasiulymai","PASIŪLYMAI",0
110,"dp-pauksciams","Paukščiams",0
89,"pauksciams","PAUKŠČIAMS",16
656,"pirmoji-pagalba-sunims","Pirmoji pagalba šunims",2
130,"prieziuros-priemones-katems","Priežiūros priemonės katėms",25
679,"rinkiniai","RINKINIAI",12
76,"sampunai-sunims","Šampūnai šunims",42
81,"sausas-maistas-katems","Sausas maistas katėms",206
72,"sausas-maistas-sunims","Sausas maistas šunims",516
97,"skanestai-grauzikams","Skanėstai graužikams",22
96,"skanestai-katems","Skanėstai katėms",88
98,"skanestai-pauksciams","Skanėstai paukščiams",3
95,"skanestai-sunims","Skanėstai šunims",274
683,"skanestu-rinkiniai","Skanėstų rinkiniai",4
680,"sprendimai","SPRENDIMAI",0
639,"sukos-sepeciai-zirkles-katems","Šukos, šepečiai, žirklės katėms",47
75,"sukos-sepeciai-zirkles-sunims","Šukos, šepečiai, žirklės šunims",60
70,"sunims","ŠUNIMS",1795
92,"dp-sunims","Šunims",0
688,"suo-kasosi","Šuo kasosi",0
83,"super-premium-sunu-maistas","Super Premium šunų maistas",5
121,"transportavimo-dezes-katems","Transportavimo dėžės katėms",51
122,"transportavimo-dezes-sunims","Transportavimo dėžės šunims",57
106,"tualetai-kraikai-semtuveliai","Tualetai, semtuvėliai",66
100,"tvenkiniu-zuvu-maistas","Tvenkinių žuvų maistas",11
654,"vesinantys-kilimeliai-sunims","Vėsinantys kilimėliai šunims",7
102,"vitaminai-ir-papildai-katems","Vitaminai ir papildai katėms",19
101,"vitaminai-ir-papildai-sunims","Vitaminai ir papildai šunims",73
120,"ypatingi-pasiulymai","Ypatingi pasiūlymai",0
114,"zaislai-katems","Žaislai katėms",61
115,"zaislai-sunims","Žaislai šunims",203
103,"dp-zuvims","Žuvims",0
93,"zuvims","ŽUVIMS",53
